# it, index, xp, yp, rhopswarm, aps
1.660680299999999932e+01,1.000000000000000000e+00,9.865460000000000340e-01,1.150578000000000101e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.670794000000000068e+01,1.000000000000000000e+00,9.863579999999999570e-01,1.145358000000000098e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.680907799999999952e+01,1.000000000000000000e+00,9.861689999999999623e-01,1.140136999999999956e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.691021599999999836e+01,1.000000000000000000e+00,9.859780000000000211e-01,1.134913000000000061e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.701135299999999972e+01,1.000000000000000000e+00,9.857850000000000223e-01,1.129687000000000108e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.711249099999999856e+01,1.000000000000000000e+00,9.855899999999999661e-01,1.124459000000000097e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.721362900000000096e+01,1.000000000000000000e+00,9.853939999999999921e-01,1.119229999999999947e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.731476599999999877e+01,1.000000000000000000e+00,9.851959999999999607e-01,1.113998000000000044e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.741590400000000116e+01,1.000000000000000000e+00,9.849959999999999827e-01,1.108764000000000083e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.751704200000000000e+01,1.000000000000000000e+00,9.847939999999999472e-01,1.103528999999999982e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.761817900000000137e+01,1.000000000000000000e+00,9.845899999999999652e-01,1.098290999999999906e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.771931700000000021e+01,1.000000000000000000e+00,9.843849999999999545e-01,1.093051999999999913e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.780022699999999958e+01,1.000000000000000000e+00,9.842189999999999550e-01,1.088859000000000021e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.790136499999999842e+01,1.000000000000000000e+00,9.840100000000000513e-01,1.083615999999999913e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.800250199999999978e+01,1.000000000000000000e+00,9.837989999999999791e-01,1.078370999999999968e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.810363999999999862e+01,1.000000000000000000e+00,9.835859999999999603e-01,1.073123999999999967e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.820477800000000101e+01,1.000000000000000000e+00,9.833720000000000239e-01,1.067874999999999908e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.830591499999999883e+01,1.000000000000000000e+00,9.831550000000000011e-01,1.062624000000000013e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.840705300000000122e+01,1.000000000000000000e+00,9.829369999999999497e-01,1.057369999999999921e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.850819100000000006e+01,1.000000000000000000e+00,9.827169999999999517e-01,1.052114999999999911e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.860932800000000142e+01,1.000000000000000000e+00,9.824939999999999785e-01,1.046858000000000066e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.871046600000000026e+01,1.000000000000000000e+00,9.822699999999999765e-01,1.041598999999999942e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.881160399999999910e+01,1.000000000000000000e+00,9.820429999999999993e-01,1.036337000000000064e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.891274100000000047e+01,1.000000000000000000e+00,9.818149999999999933e-01,1.031074000000000046e+00,0.000000000000000000e+00,0.000000000000000000e+00
