# t, l_px[0], l_py[0], l_vx[0], l_vy[0], l_px[1], l_py[1], l_vx[1], l_vy[1], l_aps[0], l_aps[1]
3.195949868429300622e+01,2.184143312453326229e-16,-2.122327192438867843e-16,2.131082413603821387e-18,-1.089197157304182331e-17,8.538289483087846410e-01,2.709762953260316798e-01,-1.377104650993603470e-02,-6.021279498105669425e-02,1.000000000000000056e-01,0.000000000000000000e+00
3.248541448542692223e+01,2.194078398798334533e-16,-2.178860632591096773e-16,1.848029754936355110e-18,-1.066447677093098732e-17,8.464315538761058022e-01,2.392606653630415248e-01,-1.436385096697945923e-02,-6.039571688218785955e-02,1.000000000000000056e-01,0.000000000000000000e+00
3.301133028656083468e+01,2.203626307070721912e-16,-2.233233777612796867e-16,1.759722003988447236e-18,-9.943394274780206340e-18,8.387170185815079337e-01,2.074530022914863048e-01,-1.497704428909604063e-02,-6.056249549089032930e-02,1.000000000000000056e-01,0.000000000000000000e+00
3.353724608769474713e+01,2.212881672913046557e-16,-2.284330281805425065e-16,1.843936018137445652e-18,-9.739877073920146929e-18,8.306747274921745250e-01,1.755622596099790378e-01,-1.561018982915588285e-02,-6.071135082282389656e-02,1.000000000000000056e-01,0.000000000000000000e+00
3.406316188882865958e+01,2.223973206810133290e-16,-2.335491374824102518e-16,2.228162457692249913e-18,-9.738999844606100873e-18,8.222943170927899947e-01,1.435983681039562643e-01,-1.626278867782119872e-02,-6.084032909731696553e-02,1.000000000000000056e-01,0.000000000000000000e+00
3.458907768996257204e+01,2.234491958480629530e-16,-2.387310067264013859e-16,1.772003214385175995e-18,-9.967079466259657861e-18,8.135656970695136492e-01,1.115723432313247554e-01,-1.693429179647209723e-02,-6.094726203848056106e-02,1.000000000000000056e-01,0.000000000000000000e+00
3.511499349109648449e+01,2.244907793889840219e-16,-2.439532972192207853e-16,2.228162457692250299e-18,-9.742508761862334402e-18,8.044791355478051464e-01,7.949633390072308181e-02,-1.762379320983375325e-02,-6.103012046676813823e-02,1.000000000000000056e-01,0.000000000000000000e+00
3.564090929223039694e+01,2.256725419754464111e-16,-2.489338409631219387e-16,2.096578060584440900e-18,-9.423782111090093794e-18,7.950255239671378815e-01,4.738346409593763991e-02,-1.832989046447133091e-02,-6.108712889630341786e-02,1.000000000000000056e-01,0.000000000000000000e+00
3.616682509336430940e+01,2.266545642088315893e-16,-2.539225470311938452e-16,1.624336279853079055e-18,-9.602152071614014751e-18,7.851965498183004488e-01,1.524783853270661460e-02,-1.905096959743024509e-02,-6.111630639566664747e-02,1.000000000000000056e-01,0.000000000000000000e+00
3.665228583287253628e+01,7.757840654848526807e-01,-1.442287525056851552e-02,-1.972829936319804231e-02,-6.111661307341414995e-02,2.273321554095580385e-16,-2.586781773410969154e-16,1.267596358805239260e-18,-9.789294325278467145e-18,0.000000000000000000e+00,1.000000000000000056e-01
3.717820163400644873e+01,7.652133043325198836e-01,-4.655853525515291080e-02,-2.047283231328560910e-02,-6.108636581939882321e-02,2.279256983302363378e-16,-2.637509316892170210e-16,9.167046331844131696e-19,-9.526125531062833710e-18,0.000000000000000000e+00,1.000000000000000056e-01
3.770411743514036118e+01,7.542485291412179826e-01,-7.866964607397849973e-02,-2.122627841968560691e-02,-6.102303613129068938e-02,2.283250370829269820e-16,-2.689827922113900359e-16,6.541206585114949526e-19,-1.023960537315851291e-17,0.000000000000000000e+00,1.000000000000000056e-01
3.823003323627427363e+01,7.428857309540908282e-01,-1.107384593156451325e-01,-2.198601026635085484e-02,-6.092528544284069036e-02,2.286953108638966692e-16,-2.745720205787789373e-16,7.944773487598252926e-19,-1.116946844605370360e-17,0.000000000000000000e+00,1.000000000000000056e-01
3.875594903740818609e+01,7.311223411266891681e-01,-1.427465088766997348e-01,-2.274920754930652086e-02,-6.079174214014033267e-02,2.289947853547763632e-16,-2.806277435167097192e-16,4.041103040066552555e-19,-1.191949950956823708e-17,0.000000000000000000e+00,1.000000000000000056e-01
3.928186483854209854e+01,7.189572645726580724e-01,-1.746747202823691614e-01,-2.351314508040618784e-02,-6.062162392983243969e-02,2.292172500915232058e-16,-2.872706214694460844e-16,4.742886491308207144e-19,-1.347219539544040024e-17,0.000000000000000000e+00,1.000000000000000056e-01
3.980778063967601099e+01,7.063908305915926888e-01,-2.065038117626776248e-01,-2.427502119506382700e-02,-6.041479325038991155e-02,2.294983889266571424e-16,-2.948279754656907926e-16,6.889174213022265010e-19,-1.507109202518597514e-17,0.000000000000000000e+00,1.000000000000000056e-01
4.033369644080992344e+01,6.934249623736908896e-01,-2.382144826253132230e-01,-2.503156262896761783e-02,-6.017131222490693793e-02,2.299704906590207882e-16,-3.026413070456038266e-16,1.029867214697129622e-18,-1.429328203339316041e-17,0.000000000000000000e+00,1.000000000000000056e-01
4.085961224194383590e+01,6.800634302869469350e-01,-2.697875279228854062e-01,-2.577906420696023451e-02,-5.989150203372532733e-02,2.304835459657022730e-16,-3.098948687997768802e-16,9.509165764324437519e-19,-1.342482501248160813e-17,0.000000000000000000e+00,1.000000000000000056e-01
4.138552804307774835e+01,6.663118755720240927e-01,-3.012040234907839009e-01,-2.651431887876511129e-02,-5.957614669337667201e-02,2.310765683903464571e-16,-3.168072335741568100e-16,1.404151722026010914e-18,-1.244349781982869701e-17,0.000000000000000000e+00,1.000000000000000056e-01
4.191144384421166080e+01,6.521774645082261124e-01,-3.324455892228532772e-01,-2.723455024443493383e-02,-5.922650906499301454e-02,2.318554907053434697e-16,-3.229220564708659703e-16,1.369062549463928305e-18,-1.123409100552223814e-17,0.000000000000000000e+00,1.000000000000000056e-01
4.243735964534557326e+01,6.376688596857350566e-01,-3.634946260679791097e-01,-2.793683897297355445e-02,-5.884431049691300764e-02,2.325043481590978100e-16,-3.287767733040002595e-16,1.206775126364296238e-18,-1.095922582045258539e-17,0.000000000000000000e+00,1.000000000000000056e-01
4.296327544647948571e+01,6.227962872412600159e-01,-3.943345784734054726e-01,-2.861820351368657769e-02,-5.843178826036007911e-02,2.331001505057420335e-16,-3.344974624083595329e-16,9.699232115702386269e-19,-1.076623537136111409e-17,0.000000000000000000e+00,1.000000000000000056e-01
4.348919124761339816e+01,6.075714084293415418e-01,-4.249501058164723566e-01,-2.927629826932429125e-02,-5.799119002296623804e-02,2.335202854408852822e-16,-3.400996203704131029e-16,6.278037790899331884e-19,-1.053815574970755710e-17,0.000000000000000000e+00,1.000000000000000056e-01
4.401510704874731061e+01,5.920069671798418032e-01,-4.553270065135194278e-01,-2.990920893560309463e-02,-5.752472139273921703e-02,2.337820831165710647e-16,-3.455428496002432273e-16,3.149253237446962217e-19,-1.029399359062973356e-17,0.000000000000000000e+00,1.000000000000000056e-01
